sort,year,siteid,lat,long,epareg,huc8,era,strorder,doc,no3,tn,tp,area,elev,forest,wetland,urban,ag,roads,pop,shrub,precip,k,mg,na,nh4,no2,sio2,so4,tss,turb,ph,cl,ca,anc,al,cond,ansum,catsum,co3,h,oh,dic,hco3,se,zn
1652,2009,FW08KY072,37.68388625,-87.89627852,4,5140202,Year2008,1st,7.37,1.32158,2052,244.8594,10.98419952,138.293,25.595,0,7.162,66.875,2.18,143.743,0.098,,6.841,19.94,8.877,0.07,0,17.861,23.47,17.9,17.45,7.79,16.87,50.15,3583.6,0.001,444.03,,,,,,,,,
1653,2009,FW08RKY9219,37.14304748,-87.76024521,4,5140205,Year2008,2nd,3.31,0.02823,321,47.0813,7.846980095,157.494,98.794,0.252,0.103,0.287,0.323,6.232,0.563,,0.955,4.285,2.253,0.04,0.00105,7.37,9.59,24.1,13.84,7.86,1.34,28.3,1554.34,0.0034,187.52,,,,,,,,,
1654,2009,FW08RKY9056,37.07104966,-82.77167362,4,5130101,Year2008,2nd,0.88,0.0421,88,6.9538,6.61977005,800.83,99.185,0,0.679,0,0,20.731,0,,0.433,0.491,0.289,0.003,0,4.764,3.9,1.4,0.35,5.98,0.39,0.719,10.2,0.0339,15.28,,,,,,,,,
1655,2009,WSDP99-0548,44.72564473,-103.970097,8,10120202,Year2008,6th,3.43,0,428,64.5444,8430.44043,1386.04,13.022,0.595,1.108,0.962,0.474,3.968,83.285,,10.94,82.39,128.9,0.015,0,12.091,1105.2,33.8,21.36,8.14,13.86,270.4,3157.69,0.0119,2143.45,,,,,,,,,
1656,2009,WSDP99-0664,45.33701201,-103.3447206,8,10130305,Year2008,3rd,5.46,0,494,63.5494,200.220993,967.189,0.887,0.829,0.493,4.982,0.545,0.025,92.171,,4.422,4.64,452.8,0.012,0,8.429,324.63,10.9,15.5,8.69,5.54,12.76,12600.22,0.0014,1842.62,,,,,,,,,
1657,2009,WSDP99-0602,44.47407591,-103.2200598,8,10120202,Year2008,4th,3.7,0.58731,842,17.8769,496.9249878,NA,NA,NA,NA,NA,NA,NA,NA,,6.526,100,102.3,0.012,0,5.341,951.61,4.8,3.6,8.13,53.57,253,4257.65,0,2045.14,,,,,,,,,
1658,2009,WSDP99-0602,44.47407591,-103.2200598,8,10120202,Year2008,4th,3.7,0.86397,1191,16.0913,496.9249878,1157.21,33.144,2.585,3.813,12.278,1.106,16.42,47.79,,6.921,102.3,98.57,0.009,0,4.169,834.32,0,3.12,8.16,50.79,247.5,4010.64,0.005,1980.81,,,,,,,,,
1659,2009,FW08SD026,42.99859143,-97.00441624,8,10170102,Year2008,5th,4.63,0,1091,305.2213,4308.319824,450.352,0.529,1.915,5.104,85.136,1.281,5.121,5.113,,9.127,96.17,52.56,0.022,0,17.512,705.43,110.3,78.53,7.96,14.16,167.7,4409.02,0,1547.69,,,,,,,,,
1660,2009,FW08SD032,44.80319838,-102.5440453,8,10120113,Year2008,6th,8.89,0.00741,958,98.0444,1237.22998,851.05,0.239,0.92,0.348,5.846,0.357,0.106,91.321,,9.879,121.8,323.2,0.033,0,8.366,1145.31,18.1,15.68,8.07,12.59,91.05,4669.67,0,2467.87,,,,,,,,,
1661,2009,FW08SD034,43.42244243,-103.9918042,8,10120106,Year2008,7th,7.97,0,823,213.6438,13903.09961,1426.54,1.249,1.294,0.211,0.279,0.426,0.083,95.62,,10.54,21.76,186.3,0.01,0,8.839,393.37,278.6,284.73,8.29,19.29,56.56,3660.02,0.0054,1177.91,,,,,,,,,
1662,2009,FW08SD035,44.59102841,-101.4489637,8,10120112,Year2008,5th,7.04,0,620,45.565,921.9329834,707.227,0.62,1.221,1.62,14.497,0.296,0.14,81.481,,15.47,164.6,763.9,0.011,0,4.212,2274.01,24,19.58,8.26,150.39,342.3,3938.26,0.005,4545.92,,,,,,,,,
1663,2009,FW08SD036,44.8171498,-103.6938849,8,10120202,Year2008,5th,2.91,0,415,121.9088,810.4609985,984.19,0.014,0.12,0.509,0.442,0.442,0.079,98.519,,7.767,104.4,165.6,0.007,0,4.833,963.02,85.4,67.05,8.19,81.6,200.4,3484.61,0.005,2225.38,,,,,,,,,
1664,2009,FW08SD037,43.24111525,-99.18715776,8,10140101,Year2008,3rd,11.38,0,1535,351.1975,139.7510071,646.6,3.985,3.98,4.123,38.664,1.004,4.898,48.942,,17.87,27.28,62.9,0.021,0,23.749,227.23,160.3,137.36,8.39,23.21,110,4987.01,0.005,923.63,,,,,,,,,
1665,2009,FW08SD038,43.81008693,-100.8971399,8,10140202,Year2008,6th,6.65,0,679,344.4888,15252.90039,951.199,6.317,1.591,1.448,5.658,0.555,1.625,78.243,,7.478,2.437,124.6,0.016,0,40.469,98.56,136.2,125.14,8.69,9.27,28.98,4980.88,6.00E-04,695.89,,,,,,,,,
1666,2009,FW08SD040,45.25933104,-100.9108892,8,10130306,Year2008,6th,5.94,0.01943,513,27.5481,12007.7998,807.395,0.527,0.882,0.85,12.014,0.477,0.545,84.989,,12.85,75.51,673,0.006,0,3.3,1835.86,18.9,9.1,8.31,26.07,127.1,4570.93,0,3509.97,,,,,,,,,
1667,2009,FW08SD042,42.85420158,-97.28015821,8,10170101,Year2008,8th+,3.73,0.0037,343,43.6775,705177,NA,NA,NA,NA,NA,NA,NA,NA,,5.951,20.9,73.7,0.022,0,8.648,207.86,8.1,12.22,8.31,12.05,60.25,3089.32,0.005,743.3,,,,,,,,,
1668,2009,FW08SD042,42.85420158,-97.28015821,8,10170101,Year2008,8th+,3.51,0.04928,492,31.0481,705177,1145.33,9.05,1.769,1.518,16.918,0.488,1.827,64.871,,5.865,18.89,63.99,0.0323,0,9.161,182.38,10.1,17.27,8.27,10.93,54.55,2935.64,0.005,700.42,,,,,,,,,
1669,2009,FW08SD050,43.73020928,-100.4410128,8,10140204,Year2008,6th,4.15,0.00055,1700,1512.175,20587.59961,917.178,5.384,2.091,1.527,7.303,0.579,1.689,78.382,,7.115,3.705,51.41,0.01,0,47.377,52.34,1339.6,655,8.54,3.39,32.07,3696.31,0,409.22,,,,,,,,,
1670,2009,FW08SD051,44.64263801,-101.6359546,8,10120113,Year2008,6th,NA,NA,NA,NA,4621.950195,783.745,0.386,2.13,0.372,7.809,0.43,0.286,88.231,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
1671,2009,FW08SD056,45.5168255,-104.0118867,8,10110201,Year2008,5th,4.44,0,333,59.39,4972.379883,1119.47,3.657,1.035,0.291,1.883,0.295,0.117,92.746,,10.62,58.69,320.1,0.002,0,8.764,852.49,27.4,21.29,8.32,21.84,131.5,5366.41,0,2054.97,,,,,,,,,
1672,2009,FW08SD060,45.10777476,-102.8961217,8,10130304,Year2008,6th,9.88,47.80716,48016,66.4256,2490.27002,929.984,0.456,0.536,0.41,2.234,0.427,0.09,95.907,,25.7,1289,2107,0.269,0,1.067,9403.75,17.5,10.69,8.45,65.26,318.8,5601.77,0,13095.27,,,,,,,,,
1673,2009,FW08SD063,44.5204035,-101.9940786,8,10120112,Year2008,7th,3.34,0.63979,1374,1452.613,55224,NA,NA,NA,NA,NA,NA,NA,NA,,9.882,69.42,139.8,0.004,0,9.701,822.76,1857.6,1642,8.07,38.25,173.8,3795.57,0,1771.83,,,,,,,,,
1674,2009,FW08SD065,43.07013263,-98.80039803,8,10140101,Year2008,2nd,3.06,0,216,32.8963,57.67589951,561.722,5.637,0.566,2.727,20.188,0.807,1.618,70.467,,27.88,152.8,103.8,0.019,0,9.441,1396.88,14.7,18.5,8.03,34,358.1,5128.72,0,2684.16,,,,,,,,,
1675,2009,FW08SD067,44.75803488,-101.9992788,8,10120113,Year2008,6th,6.3,0,499,23.5975,3177.100098,818.319,0.287,2.424,0.394,8.894,0.346,0.176,86.953,,11.11,112,441.1,0.005,0,2.193,1422.8,7.8,3.49,8.34,21.44,127.3,4739.43,0,2880.78,,,,,,,,,
1676,2009,FW08SD070,43.12664563,-101.7196057,8,10140203,Year2008,4th,5.41,0.39036,1271,844.0613,679.2390137,1038.13,0.148,5.741,3.003,34.819,0.83,0.984,55.253,,8.653,4.91,21.76,0.04,0,59.345,18.14,119.5,94,8.06,2.33,28.8,2416.33,0.0089,289.33,,,,,,,,,
1677,2009,FW08SD072,45.94132831,-103.0026083,8,10130301,Year2008,6th,7.84,0,609,37.0375,1542.699951,901.619,0.656,0.373,3.166,35.749,0.717,1.448,59.277,,9.308,36.64,474,0.008,0,1.073,740.24,10.9,9.3,8.63,9.62,38.53,6916.9,0,2192.6,,,,,,,,,
1678,2009,FW08SD075,44.34478317,-100.3712667,8,10140102,Year2008,6th,9.32,7.88723,9038,87.2763,8124.140137,673.342,0.104,1.191,1.983,14.226,0.485,0.588,81.369,,20.11,70.91,327.5,0.037,0.04966,6.037,1149.81,19.7,10.51,8.48,56.98,149.9,2413.87,0.005,2524.42,,,,,,,,,
1679,2009,FW08SD075,44.34478317,-100.3712667,8,10140102,Year2008,6th,7.67,0,890,186.43,8124.140137,NA,NA,NA,NA,NA,NA,NA,NA,,14.97,51.71,395,0.019,0,6.648,1028.63,117.5,78.61,8.25,75.61,139.4,3412.6,0.005,2418.72,,,,,,,,,
1680,2009,FW08SD078,43.25297812,-103.7145704,8,10120106,Year2008,7th,5.74,0,751,146.2725,19762.69922,1414.91,7.456,1.141,0.403,0.264,0.479,0.475,89.711,,10.56,102.3,922.4,0.009,0,4.508,1682.1,122.5,101.88,8.2,798.79,255.2,3369.1,0,5023.95,,,,,,,,,
1681,2009,FW08SD084,43.89471607,-102.6490336,8,10120109,Year2008,7th,3.5,0.01217,394,399.655,29038.59961,1333.65,10.649,1.103,0.627,1.193,0.492,0.966,84.367,,14.5,73.49,238.4,0.012,0,14.888,1047.69,546.4,407.03,8.08,126.99,229.8,3151.24,0,2458.04,,,,,,,,,
1682,2009,FW08SD085,43.90549254,-96.48497483,8,10170203,Year2008,4th,4.34,4.62724,5275,280.2625,446.4790039,519.789,0.528,0.471,6.291,86.444,1.405,11.461,6.14,,2.121,55.29,26.51,0.052,0,19.252,141.14,124.1,62.35,8.29,26.65,93.46,5976.58,0.005,940.98,,,,,,,,,
1683,2009,FW08SD089,43.78523575,-102.7990709,8,10120109,Year2008,4th,6.03,0.00219,546,42.305,868.1060181,1351.98,49.843,0.845,1.267,2.089,0.772,5.378,45.529,,13.31,57.34,307.1,0.02,0.28625,6.509,1074.02,22.5,3.14,8.2,26.42,238.6,5110.48,0.005,2446.08,,,,,,,,,
1684,2009,FW08SD091,45.79515224,-102.3503282,8,10130301,Year2008,6th,8.29,0,584,19.725,3141.080078,866.243,0.368,0.422,3.331,40.163,0.784,1.054,55.155,,11.02,53.19,540.6,0.008,0,0.872,1048.55,1.4,2.28,8.59,13.77,47.82,7965.1,0,2752.98,,,,,,,,,
1685,2009,FW08SD092,45.90932765,-103.4290444,8,10130301,Year2008,4th,17.4,0,1477,151.5688,127.1070023,945.034,6.126,0.533,1.238,13.836,0.494,0.085,77.941,,5.29,50.62,725.8,0.026,0,0.349,1041.95,37.2,30.9,9.02,11.04,22.63,10880.26,0,2998.75,,,,,,,,,
1686,2009,FW08SD098,43.37384277,-103.9128333,8,10120106,Year2008,7th,5.72,0,609,149.5113,18452.90039,1425.05,6.458,1.189,0.34,0.261,0.477,0.414,90.663,,8.783,74.25,197,0.016,0,6.674,1067.51,154.5,154.56,8.17,767.47,189.2,3382.99,0,4552.06,,,,,,,,,
1687,2009,FW08SD097,44.05554719,-96.98758644,8,10170202,Year2008,2nd,13.75,0.03845,1531,455.9813,196.6109924,531.196,0.623,3.436,4.479,78.81,1.185,2.924,9.584,,9.349,246.8,151.8,0.069,0,22.076,1791.66,10.5,11.54,8,11.4,224.1,5980.05,0.005,2886.93,,,,,,,,,
1688,2009,FW08SD094,43.45583867,-103.1810317,8,10120109,Year2008,7th,2.58,0.19606,703,216.2913,24813,1367.23,8.255,1.181,0.542,0.94,0.47,0.68,88.038,,14.2,77.23,194.2,0.04,0,19.064,976.57,236.6,218.92,8.07,132.17,259.8,4067.8,0,2330.24,,,,,,,,,
1689,2009,FW08SD095,44.01584907,-101.72602,8,10140102,Year2008,6th,9.28,0,826,127.8425,1316.170044,788.56,0.221,1.427,2.238,10.493,0.65,0.919,81.825,,12.56,68.26,443.1,0.019,0,6.416,1467.62,135.8,99.5,8.28,39.69,187.1,3892.92,0.0061,2959.43,,,,,,,,,
1690,2009,FW08SD100,44.04301543,-103.7701047,8,10120110,Year2008,3rd,2.82,0.03012,323,21.4975,251.2709961,2009.49,88.243,0.01,0,0.033,0.946,0.115,11.08,,2.287,27.81,2.647,0.02,0,5.747,11.16,7.9,0.95,8.45,2.66,37.56,3852.54,0.005,386.92,,,,,,,,,
1691,2009,FW08SD105,44.37458714,-103.177335,8,10120202,Year2008,4th,9.28,0.9153,1976,62.1094,166.0590057,973.029,15.07,6.723,1.531,7.706,0.484,1.973,68.758,,11.28,139.9,459.3,0.033,0,1.695,1960.78,24.4,18.4,7.93,74.41,374.2,6382.83,0,3844.22,,,,,,,,,
1692,2009,FW08SD165,43.67917456,-99.50952398,8,10140101,Year2008,4th,8.41,0.04072,871,60.725,852.1669922,588.912,0.43,1.603,3.085,38.459,0.783,0.65,55.991,,25.84,60.41,241,0.061,0,10.702,850.2,28.1,18.93,8.01,127.74,172.1,3256.52,0,2192.6,,,,,,,,,
1693,2009,FW08RSD9040,45.46338808,-97.04392558,8,7020001,Year2008,2nd,2.31,0.01003,163,58.0788,15.45530033,581.056,10.782,0,2.435,4.823,0.462,6.18,80.219,,6.105,86.87,16.01,0.013,0,26.061,657.69,20.7,3.59,8.1,2.51,227.6,5258.13,0,1554.57,,,,,,,,,
1694,2009,FW08OR011,43.99127152,-123.6643325,10,17100206,Year2008,5th,1.66,0.00817,120,31.3675,669.3889771,288.597,66.897,1.284,5.738,2.328,1.287,1.327,23.504,,0.747,1.291,4.643,0.006,0,12.881,0.49,0,0.57,7.59,4.85,3.059,310.49,0.0108,51.59,,,,,,,,,
1695,2009,FW08FL032,30.92898959,-87.27581813,4,3140305,Year2008,6th,5.56,0.15584,508,50.53,10020,95.002,59.539,8.036,4.262,11.841,0.976,11.439,15.454,,1.017,1.105,6.941,0.041,0.00238,8.601,7.16,22.7,18.5,7.52,5.34,9.506,543.43,0.0283,95.59,,,,,,,,,
1696,2009,VAEQ99-0438,38.17732121,-79.37611138,3,2080202,Year2008,1st,1.25,0.09636,161,1.2113,4.668300152,783.634,96.298,0,3.702,0,0.725,0,0,,0.866,1.324,0.839,0.005,0,5.865,5.3,0.9,1.26,6.88,0.62,2.052,120.7,0.0092,30.64,,,,,,,,,
1697,2009,VAEQ99-0438,38.17732121,-79.37611138,3,2080202,Year2008,1st,0.77,0.13007,183,10.84,4.668300152,NA,NA,NA,NA,NA,NA,NA,NA,,1.124,1.801,1.181,0.003,0,6.787,5.08,0,0.98,7.06,0.57,2.625,219.08,0.005,39.81,,,,,,,,,
1698,2009,FW08VA023,37.49176358,-78.75646458,3,2080203,Year2008,1st,2.03,0.00484,124,28.6106,0.662400007,224.49,96.196,0,0.951,0.543,0.114,10.47,2.31,,0.628,1.307,2.055,0.008,0,13.207,0.95,13.6,28.35,7.11,1.38,1.954,230.95,0.0204,31.41,,,,,,,,,
1699,2009,FW08VA031,38.16236947,-77.02401881,3,2080104,Year2008,1st,3.76,0.34,630,49.2113,1.165500045,50.016,58.842,2.008,3.012,35.058,1.053,0,1.081,,1.281,2.734,3.513,0.036,0,11.018,0.64,16.2,11.14,6.81,5.83,1.367,133.02,0.0339,40.97,,,,,,,,,
1700,2009,FW08VA040,39.15394264,-77.73734862,3,2070008,Year2008,1st,8,0.21861,3716,540.8375,0.113399997,190.843,5.556,0,13.492,80.952,2.393,27.116,0,,6.442,8.74,7.04,0.615,0.11736,8.812,3.5,77,104.6,7.66,18.21,19.86,1501.35,8.00E-04,230.17,,,,,,,,,
1701,2009,FW08VA046,36.77218871,-81.17728383,3,5050001,Year2008,1st,1.73,0.07048,92,18.175,8.241900444,954.371,97.404,0,2.4,0,1.025,0,0.142,,0.703,1.723,1.227,0,0,8.607,2.19,2,2.98,6.67,0.6,2.445,263,0.0049,35.89,,,,,,,,,
1702,2009,FW08RVA9026,36.55849722,-76.92781885,3,3010202,Year2008,5th,11.84,0.12075,677,99.2969,1903.73999,25.057,40.027,15.964,7.432,26.026,1.174,23.972,10.027,,4.312,2.395,13.8,0.044,0.00242,6.996,13.16,0,1.99,7.07,12.31,10.77,707.5,0.038,154.45,,,,,,,,,
1703,2009,FW08VA041,36.6199874,-82.82102164,3,6010205,Year2008,5th,1.54,0.41312,613,14.0388,2897.280029,694.209,63.477,0.051,7.441,24.481,1.544,29.504,3.862,,2.088,13.56,12.17,0.006,0,4.722,36.45,1.1,1.1,7.94,8.57,41.97,2680.84,0.0024,357.01,,,,,,,,,
1704,2009,OWW04440-0124,38.85319677,-89.39780396,5,7140203,Year2008,3rd,7.66,0.86604,1811,530.7338,39.96699905,NA,NA,NA,NA,NA,NA,NA,NA,,8.013,5.659,11.24,0.106,0.01581,8.241,18.11,101.9,51.48,7.72,17.7,23.7,1322.41,0.0786,248.72,,,,,,,,,
1705,2009,OWW04440-0828,39.73852257,-88.66761905,5,7140201,Year2008,3rd,3.12,3.9861,4194,143.1256,98.69680023,215.729,0.931,0.127,6.581,92.278,1.347,10.167,0.046,,2.334,29.72,8.787,0.04,0,10.641,16.73,18,14.82,8.28,23.7,65.37,4866.3,0,588.22,,,,,,,,,
1706,2009,FW08IL010,39.41045944,-89.13140485,5,7130007,Year2008,2nd,5.34,0.0032,560,196.2838,10.12909985,210.552,1.884,0,7.491,90.58,1.158,2.842,0,,2.757,20.26,20.07,0.015,0,7.44,12.32,3.5,8.18,7.85,32.6,43.98,3525.86,0,464.76,,,,,,,,,
1707,2009,FW08IL020,39.54832515,-89.43360292,5,7130007,Year2008,2nd,4.04,0.56947,1346,369.025,39.12239838,190.057,0.4,0,4.701,94.858,1.478,1.742,0,,1.372,25.46,13.14,0.049,0,11.956,25.13,12.3,12.84,8.01,30.74,53.74,3938.53,0,524.02,,,,,,,,,
1708,2009,FW08IL021,39.21621889,-89.02055721,5,7140201,Year2008,4th,5.84,0.85022,1535,263.2325,254.397995,197.763,24.077,0.319,9.232,65.475,1.973,28.102,0.236,,6.376,14.6,15.69,0.112,0.00529,8.468,26.48,26.7,38.85,8,14.97,40.94,2938.52,0.002,397.62,,,,,,,,,
1709,2009,FW08IL030,38.51673755,-89.35424253,5,7140202,Year2008,5th,6.88,0.21885,691,156.4706,893.8029785,155.004,17.749,2.134,12.685,66.144,2.141,48.098,0.51,,7.754,12.86,47.07,0.051,0.00234,3.287,60,36.7,25.6,7.78,49.49,35.05,2247.15,0.0016,517.11,,,,,,,,,
1710,2009,FW08WA037,46.27821517,-122.9933585,10,17080005,Year2008,2nd,0.64,0.32737,390,29.0538,20.44980049,455.289,65.254,0.436,4.299,0,1.229,0.803,29.931,,0.379,1.281,3.158,0.007,0.00231,13.551,2.65,0,0.13,7.46,1.88,3.898,293.56,1.00E-04,47.55,,,,,,,,,
1711,2009,FW08WA051,48.38499946,-120.2964235,10,17020008,Year2008,3rd,0.81,0.00382,0,26.9663,60.62049866,1287.88,67.263,0.457,1.88,0,1.182,0,29.631,,0.456,8.582,4.074,0.004,0,11.97,2.04,0.7,0.71,8.18,0.21,35.32,2470.95,0.0056,241.52,,,,,,,,,
1712,2009,FW08KY041,37.29617565,-83.06281453,4,5100201,Year2008,1st,1.96,0.24096,365,15.7863,2.825680017,435.639,59.981,0,6.241,0,1.635,3.967,30.5,,7.644,152.1,10.31,0.007,0,7.074,897.11,0.6,0.32,8.07,3.36,171.6,2609.13,0,1686.3,,,,,,,,,
1713,2009,FW08KY042,38.36231268,-82.93243281,4,5090104,Year2008,5th,2.37,1.04537,1308,72.3281,1164.660034,269.124,75.35,0.002,6.75,11.403,1.578,19.146,5.944,,7.841,7.107,31.77,0.067,0.00449,6.836,49.84,0.8,4.39,7.52,48.87,30.7,1241.54,0.0017,403.42,,,,,,,,,
1714,2009,FW08KY050,38.60544714,-83.95592787,4,5100101,Year2008,3rd,2.25,0.92069,1200,195.2213,13.17490005,271.394,56.075,0,5.054,32.614,1.195,19.07,6.257,,4.405,9.616,7.984,0.009,0,9.01,31.58,12.3,13.45,8.15,15.75,91.18,4563.39,0.0051,526.98,,,,,,,,,
1715,2009,FW08RKY9007,37.68290097,-82.40522656,4,5070201,Year2008,1st,1.69,0.02323,143,20.9375,1.241999984,381.111,97.174,0,0,0,0,0,2.826,,1.685,2.277,2.108,0.007,0,9.322,8.09,2.4,2.27,6.78,0.63,3.202,286.11,0.0032,53.96,,,,,,,,,
1716,2009,FW08RKY9143,37.46369571,-83.12992946,4,5100201,Year2008,2nd,1.78,0.0185,129,12.7388,15.91079998,400.288,96.118,0,3.865,0,0.045,0,0,,1.894,2.972,2.181,0.002,0.00072,6.75,11.75,0.5,0.68,7.33,0.7,4.9,338.54,0.0013,69.43,,,,,,,,,
1717,2009,FW08RKY9905,37.42271545,-86.72593983,4,5110004,Year2008,1st,2.34,0.00545,255,45.095,4.761750221,180.883,95.522,0,0.831,1.115,0.884,20.739,1.757,,0.981,3.286,2.718,0.105,0,11.456,5.16,11.1,35.44,7.29,1.52,7.361,687.01,0.0059,89.94,,,,,,,,,
1718,2009,WMTP99-0653,48.91180622,-107.308237,8,10050013,Year2008,3rd,6.8,0,878,184.9381,4768.220215,822.024,0,0.006,0.015,0.125,0.008,0.001,1.955,,8.958,31.79,71.47,0.0134,0,1.352,179.38,173.8,92.77,8.44,4.96,44.05,3665.4,0.005,760.05,,,,,,,,,
1719,2009,FW08MT032,46.35962704,-105.8140482,8,10090102,Year2008,6th,3.39,0.00562,311,43.4263,13961.40039,1226.45,18.519,2.383,0.655,2.088,0.528,1.968,75.993,,2.874,24.35,38.51,0.011,0,6.614,109.86,24.6,25.6,8.33,2.71,44.55,3388.18,0.005,538.84,,,,,,,,,
1720,2009,FW08RMT222052,46.99482272,-111.4858784,8,10030103,Year2008,1st,1.24,0.09272,164,24.12,4.428899765,1776.51,26.275,0,0,0,0,0,73.725,,1.942,16.26,8.31,0.01,0,9.015,17.98,0,0.1,8.48,0.81,46.72,3533.9,0,361.85,,,,,,,,,
1721,2009,FW08MT093,46.78491673,-108.5938921,8,10040203,Year2008,4th,3.24,0,231,38.6975,491.9320068,1588.13,43.412,5.302,0.229,2.039,0.311,0.014,48.666,,2.868,52.78,24.46,0.007,0,6.765,253.61,12.9,19.84,8.19,3.05,97.84,5265.89,0,914.18,,,,,,,,,
1722,2009,OWW04440-0698,41.53769597,-78.14748044,3,2050202,Year2008,1st,1.15,0.0505,98,16.34,5.126100063,605.883,97.738,0,0.07,0,1.312,0,2.192,,0.681,1.331,0.873,0.015,0,4.402,7.1,0,2.51,7.28,0.43,5.255,250.95,0.0043,49.09,,,,,,,,,
1723,2009,OWW04440-0698,41.53769597,-78.14748044,3,2050202,Year2008,1st,1.4,0.04314,141,18.9,5.126100063,NA,NA,NA,NA,NA,NA,NA,NA,,0.983,1.581,1.503,0.001,0,4.313,7.22,0,3.17,7.38,0.58,6.486,364.25,0.0054,59.42,,,,,,,,,
1724,2009,OWW04440-0262,40.75634086,-80.21871844,3,5030105,Year2008,3rd,5,18.77897,19400,567.8688,108.1760025,343.315,40.979,0.136,42.055,15.947,5.039,251.7,0.627,,9.139,16.09,161.2,0.032,0.00425,1.984,77.29,1.3,2.57,8.07,204.66,55.98,2224.03,0.0046,1195.69,,,,,,,,,
1725,2009,OWW04440-0218,41.46969383,-80.09513586,3,5010004,Year2008,1st,2,0.59391,793,27.7169,10.02439976,432.743,50.551,0,4.904,41.381,1.75,12.562,2.698,,1.983,7.732,4.891,0.007,0.00049,6.777,17.51,0,0.78,7.99,10.44,35.19,1828.57,0.0018,253.55,,,,,,,,,
1726,2009,OWW04440-0058,41.31808471,-78.89220382,3,5010005,Year2008,2nd,2.47,0.02855,205,9.7356,4.174079895,564.247,90.443,0,0.238,0.368,0.115,0,8.951,,0.375,0.646,0.394,0.057,0,4.805,6.86,1.7,2.27,5.78,0.57,1.232,-5.69,0.1352,25.13,,,,,,,,,
1727,2009,FW08PA016,41.47515845,-79.51793243,3,5010003,Year2008,6th,1.94,0.19717,466,19.0388,10919.09961,NA,NA,NA,NA,NA,NA,NA,NA,,1.174,2.856,9.303,0.035,0.00574,2.151,9.49,0,0.31,7.83,16.25,14.22,692.8,NA,153.42,,,,,,,,,
1728,2009,FW08PA016,41.47515845,-79.51793243,3,5010003,Year2008,6th,1.87,0.15077,376,8.5325,10919.09961,532.965,72.322,2.772,3.667,13.873,1.355,24.295,5.944,,1.041,2.257,9.081,0.036,0.00574,2.722,9.15,5.2,0.34,7.61,15.9,10.7,484.1,NA,130.69,,,,,,,,,
1729,2009,FW08PA022,40.9297267,-78.26004969,3,2050201,Year2008,1st,1.09,0.02526,103,26.6538,1.851300001,505.707,76.082,0,9.091,11.084,1.705,14.254,0,,2.14,68.03,1.786,0.043,0,20.216,516.69,2.8,1.5,3.53,1.87,52.86,0,9.01,976.41,,,,,,,,,
1730,2009,FW08PA024,41.02419361,-80.16322724,3,5030105,Year2008,5th,2.84,1.12494,1351,104.3063,783.0050049,403.049,57.19,0.095,9.474,29.051,1.785,46.486,2.387,,3.707,15.94,25,0.02,0,4.133,111.66,2,1.64,8.12,32.76,68.04,2543.59,0,580.32,,,,,,,,,
1731,2009,FW08PA026,41.48846706,-78.13260986,3,2050202,Year2008,1st,0.69,0.05227,106,18.661,2.973599911,601.088,99.999,0,0,0,0.346,0,0,,0.513,0.998,0.332,0.011,0,5.434,5.37,9.3,4.49,7.02,0.41,2.795,110.48,0.0039,28.79,,,,,,,,,
1732,2009,FW08PA027,39.77419669,-77.1567912,3,2070009,Year2008,1st,2.83,2.16,2321,93.6188,1.745100021,173.716,4.075,0.464,8.87,81.124,1.85,21.067,5.467,,2.808,10.95,14.12,0.014,0.00166,14.406,26.65,22.8,5.63,7.76,20.56,31.38,1726.33,0.0026,318.34,,,,,,,,,
1733,2009,FW08PA031,41.65698471,-78.61148275,3,5010005,Year2008,2nd,2.23,0.13944,290,7.8031,11.58199978,648.667,77.72,0,1.594,0.474,0.444,0,12.931,,1.165,1.177,4.04,0.006,0,4.861,6.08,1.2,0.91,6.98,6.6,3.558,141.04,0.0286,58.03,,,,,,,,,
1734,2009,FW08PA034,40.52158532,-79.39898843,3,5010008,Year2008,3rd,1.45,0.19456,366,23.065,76.41960144,367.113,73.798,0,7.339,18.517,1.809,20.825,0.016,,3.228,55.85,64.82,0.006,0,5.209,529.49,10.6,1.57,8.07,18.11,134.4,2679.19,0,1239.16,,,,,,,,,
1735,2009,FW08PA036,41.24332511,-80.50936645,3,5030102,Year2008,6th,4.94,0.03774,825,60.6931,1569.640015,337.654,37.003,3.656,9.787,40.034,1.665,44.39,3.105,,2.513,6.486,12.18,0.012,NA,3.715,13.9,7.3,9.44,8.01,19.48,28.88,1601.08,0.0054,257.42,,,,,,,,,
1736,2009,FW08PA044,40.65367265,-79.94248798,3,5010009,Year2008,1st,3.45,0.11325,520,44.0813,1.222200036,363.17,17.231,0,79.455,3.314,3.881,243.17,0,,2.798,12.75,35.23,0.021,0,11.27,22.21,12.3,5.04,7.72,87.67,52.64,2271.02,0,542.79,,,,,,,,,
1737,2009,FW08PA046,41.01743682,-75.63145766,3,2040106,Year2008,1st,2.57,0.03361,627,102.1656,4.360499859,540.614,96.842,0,1.816,1.342,0.606,7.82,0,,0.252,0.445,0.701,0.004,0,5.71,0.66,62.1,14.45,6.01,1.53,0.565,29.22,0.0727,13.01,,,,,,,,,
